ts,open,high,low,close,volume
2024-01-01T00:00:00Z,42000.0,42500.0,41800.0,42300.0,1000.0
2024-01-01T01:00:00Z,42300.0,42600.0,42100.0,42400.0,1100.0
2024-01-01T02:00:00Z,42400.0,42700.0,42200.0,42600.0,950.0
2024-01-01T03:00:00Z,42600.0,42800.0,42500.0,42750.0,1200.0
2024-01-01T04:00:00Z,42750.0,42900.0,42600.0,42850.0,1050.0
2024-01-01T05:00:00Z,42850.0,43000.0,42700.0,42950.0,1150.0
2024-01-01T06:00:00Z,42950.0,43100.0,42800.0,43000.0,1300.0
2024-01-01T07:00:00Z,43000.0,43200.0,42900.0,43150.0,1250.0
2024-01-01T08:00:00Z,43150.0,43300.0,43000.0,43250.0,1100.0
2024-01-01T09:00:00Z,43250.0,43400.0,43100.0,43350.0,1400.0
2024-01-01T10:00:00Z,43350.0,43500.0,43200.0,43450.0,1350.0
2024-01-01T11:00:00Z,43450.0,43600.0,43300.0,43550.0,1200.0
2024-01-01T12:00:00Z,43550.0,43700.0,43400.0,43500.0,1450.0
2024-01-01T13:00:00Z,43500.0,43650.0,43350.0,43400.0,1300.0
2024-01-01T14:00:00Z,43400.0,43550.0,43250.0,43300.0,1150.0
2024-01-01T15:00:00Z,43300.0,43450.0,43150.0,43200.0,1250.0
2024-01-01T16:00:00Z,43200.0,43350.0,43050.0,43100.0,1100.0
2024-01-01T17:00:00Z,43100.0,43250.0,42950.0,43000.0,1350.0
2024-01-01T18:00:00Z,43000.0,43150.0,42850.0,42900.0,1400.0
2024-01-01T19:00:00Z,42900.0,43050.0,42750.0,42800.0,1200.0
2024-01-01T20:00:00Z,42800.0,42950.0,42650.0,42700.0,1300.0
2024-01-01T21:00:00Z,42700.0,42850.0,42100.0,42200.0,1500.0
2024-01-01T22:00:00Z,42200.0,42400.0,41800.0,41900.0,1600.0
2024-01-01T23:00:00Z,41900.0,42100.0,41700.0,42000.0,1400.0
2024-01-02T00:00:00Z,42000.0,42200.0,41500.0,41600.0,1700.0
2024-01-02T01:00:00Z,41600.0,41800.0,41400.0,41500.0,1500.0
2024-01-02T02:00:00Z,41500.0,41700.0,41300.0,41400.0,1450.0
2024-01-02T03:00:00Z,41400.0,41600.0,41200.0,41300.0,1350.0
2024-01-02T04:00:00Z,41300.0,41500.0,41100.0,41200.0,1400.0
2024-01-02T05:00:00Z,41200.0,41400.0,41000.0,41100.0,1500.0
